Småortskod 
 	Småort_Beteckning 
(Namn) 	Typ 
  	Landareal 
hektar 	Folkmängd  
2010.12.31 	Fritidshusomr 
andel 	Kommun 
Namn 	Kommun
kod
S0301	Hammarskogen	-	51.35	170	0.47	Haninge	0136
S0309	Harg	-	40.06	100	0	Norrtälje	0188
S0311	Harka	-	37.23	61	0.93	Norrtälje	0188
S0315	Helgö	-	47.56	153	0.91	Ekerö	0125
S0319	Hemfosa	-	33.18	96	0.77	Haninge	0136
S0321	Hilleshög	-	44.87	176	0	Ekerö	0125
S0323	Harva	-	7.6	58	0	Upplands Väsby	0114
S0329	Håsta hage	-	7.43	54	0	Sigtuna	0191
S0331	Härsbacka	-	76.55	183	0.67	Österåker	0117
S0333	Hälgesta + Höje	-	19.87	63	0	Sigtuna	0191
S0335	Hässelmara	-	82.65	152	0.88	Värmdö	0120
S0337	Häverö	-	39.99	55	0	Norrtälje	0188
S0343	Höl	-	58.57	130	0.81	Värmdö	0120
S0345	Ilända och Skönvik	-	43.67	96	0	Ekerö	0125
S0347	Hölö	-	154.89	99	0.97	Värmdö	0120
S0353	Herresta och Ista	-	19.38	92	0	Sigtuna	0191
S0355	Holmen	-	19.87	68	0.92	Sigtuna	0191
S0361	Kagghamra, norra delen	-	47.85	163	0.85	Botkyrka	0127
S0363	Kalvsvik	-	72.59	76	0.86	Värmdö	0120
S0365	Karlskär	-	19.29	103	0	Ekerö	0125
S0367	Hysingsvik	-	22.77	55	0	Norrtälje	0188
S0369	Karlsudd	-	48.58	123	0	Vaxholm	0187
S0371	Ingmarsö	-	36.78	62	0	Österåker	0117
S0373	Karlsängen	-	25.58	77	0.73	Norrtälje	0188
S0383	Kaggeboda	-	44.63	65	0.97	Norrtälje	0188
S0385	Koviksudde + Skeviksstrand	-	73.85	225	0.99	Värmdö	0120
S0387	Kagghamra, södra delen	-	23.06	74	0.97	Botkyrka	0127
S0391	Kopparmora (norra delen)	-	76.08	212	0.98	Värmdö	0120
S0395	Kungsängen	-	14.67	56	0	Värmdö	0120
S0397	Köpmanholm	-	56.22	99	0.84	Norrtälje	0188
S0399	Laggarsvik + Öran	-	200.28	140	0.59	Österåker	0117
S0402	Lerhaga	Ny	11.7	54	0	Södertälje	0181
S0403	Källsmora	-	52.03	75	0.98	Norrtälje	0188
S0404	Kärrmaräng	Ny	11.28	98	1	Haninge	0136
S0405	Ättarö	-	44.91	198	0	Österåker	0117
S0407	Ladvreta	-	9.62	62	0	Nykvarn	0140
S0411	Lillängen	-	19.63	59	0	Värmdö	0120
S0415	Lillnäs+Björnhuvud	-	25.25	104	0	Österåker	0117
