TO_kod
 	Tätort_Namn
 	Typ
 	Folkmängd_2010
 	Folkmängd_2005
 	Förändring
 	Inv_km2
 	Landareal_ha
 	Kommun_Namn
 	KnKod
 
T6596	Insjön	T	2149	2150	-1	618	348	Leksand	2029
T6608	Leksand	T	5934	5861	73	761	779	Leksand	2029
T6612	Lima	T	398	418	-20	184	216	Malung	2023
T6616	Limedsforsen	T	441	443	-2	139	317	Malung	2023
T6620	Linghed	T	618	609	9	295	210	Falun	2080
T6624	Ludvika	T	14498	14018	480	1318	1100	Ludvika	2085
T6632	Långshyttan	T	1671	1764	-93	510	328	Hedemora	2083
T6636	Malung	T	5126	5146	-20	546	939	Malung	2023
T6640	Malungsfors	T	560	559	1	217	258	Malung	2023
T6644	Mockfjärd	T	1937	1935	2	553	350	Gagnef	2026
T6648	Mora	T	10896	10940	-44	882	1236	Mora	2062
T6652	Mora	T	817	797	20	854	96	Säter	2082
T6660	Nedre Gärdsjö	T	225	248	-23	334	67	Rättvik	2031
T6664	Nordanö	T	435	435	0	935	47	Avesta	2084
T6666	Norr Amsberg	T	236	227	9	286	83	Borlänge	2081
T6672	Nusnäs	T	729	724	5	336	217	Mora	2062
T6676	Nyhammar	T	654	686	-32	372	176	Ludvika	2085
T6680	Nås	T	417	455	-38	244	171	Vansbro	2021
T6684	Näs bruk	T	207	223	-16	360	58	Avesta	2084
T6692	Ornäs	T	1068	1094	-26	1126	95	Borlänge	2081
T6696	Orsa	T	5308	5278	30	422	1259	Orsa	2034
T6704	Repbäcken	T	220	230	-10	329	67	Borlänge	2081
T6708	Rot	T	695	684	11	262	265	Älvdalen	2039
T6716	Rättvik	T	4686	4588	98	562	834	Rättvik	2031
T6720	Saxdalen	T	604	615	-11	345	175	Ludvika	2085
T6724	Selja	T	548	565	-17	478	115	Mora	2062
T6728	Sifferbo	T	414	399	15	620	67	Gagnef	2026
T6732	Siljansnäs	T	1268	1307	-39	333	381	Leksand	2029
T6736	Skattungbyn	T	295	266	29	206	143	Orsa	2034
T6744	Smedjebacken	T	5100	5121	-21	802	636	Smedjebacken	2061
T6748	Sollerön	T	901	946	-45	360	250	Mora	2062
T6752	Solvarbo	T	321	332	-11	502	64	Säter	2082
T6768	Sundborn	T	762	751	11	871	88	Falun	2080
T6772	Sunnansjö	T	560	557	3	360	155	Ludvika	2085
T6776	Svärdsjö	T	1251	1288	-37	925	135	Falun	2080
T6780	Sågmyra	T	546	578	-32	356	153	Falun	2080
T6784	Sälen	T	652	508	144	491	133	Malung	2023
T6788	Särna	T	719	768	-49	197	364	Älvdalen	2039
T6792	Säter	T	4429	4438	-9	1164	381	Säter	2082
T6796	Söderbärke	T	924	939	-15	444	208	Smedjebacken	2061
T6804	Sörvik	T	743	718	25	545	136	Ludvika	2085
T6806	Torsång	T	666	685	-19	616	108	Borlänge	2081
T6808	Transtrand	T	386	373	13	179	215	Malung	2023
T6814	Toftbyn	T	243	274	-31	251	97	Falun	2080
T6816	Tällberg	T	606	637	-31	197	308	Leksand	2029
T6820	Vad	T	308	302	6	308	100	Smedjebacken	2061
T6828	Vansbro	T	2026	2030	-4	613	331	Vansbro	2021
T6832	Vattnäs	T	294	275	19	407	72	Mora	2062
T6836	Venjan	T	295	307	-12	147	201	Mora	2062
T6840	Vika	T	445	405	40	744	60	Falun	2080
T6848	Vikarbyn	T	1171	1208	-37	456	257	Rättvik	2031
T6852	Vikmanshyttan	T	843	897	-54	547	154	Hedemora	2083
T6860	Vinäs	T	329	331	-2	376	87	Mora	2062
T6864	Våmhus	T	857	880	-23	491	174	Mora	2062
T6872	Västanvik	T	385	385	0	263	146	Leksand	2029
T6880	Västerby	T	368	371	-3	639	58	Hedemora	2083
T6884	Västermyckeläng	T	279	303	-24	329	85	Älvdalen	2039
T6892	Åsen	T	246	262	-16	238	103	Älvdalen	2039
T6896	Älvdalen	T	1810	1812	-2	600	302	Älvdalen	2039
