'ortnamn';'population';'ortkod';'kommumkod'
'Berg';'311';'1012';'0561'
'Bosnäs';'308';'4310';'1490'
'Bälinge';'307';'8564';'2580'
'Stava';'305';'0326';'0117'
'Skede';'304';'1648';'0685'
'Boholmarna';'297';'2130';'0880'
'Ölmstad';'296';'1448';'0680'
'Tunnerstad';'295';'1708';'0680'
'Vattnäs';'294';'6832';'2062'
'Gripenberg';'292';'1496';'0687'
'Tumbo';'292';'0886';'0484'
'Rya';'290';'4542';'1401'
'Brändön';'287';'8558';'2580'
'Nissafors';'285';'1604';'0617'
'Skeda udde';'283';'1238';'0580'
'Hedvigsberg';'282';'0186';'0120'
'Rosenfors';'281';'2384';'0860'
'Röda holme';'279';'3898';'1384'
'Östra Bispgården';'279';'7806';'2303'
'Himle';'278';'3982';'1383'
'Söregärde-Drag';'274';'2422';'0880'
'Björköby';'273';'1420';'0685'
'Sundby';'270';'0266';'0125'
'Djupedalen';'270';'4330';'1487'
'Rörö';'269';'4552';'1407'
'Nya Långenäs';'268';'4526';'1401'
'Åsarne';'268';'8032';'2326'
'Ölsta';'267';'0424';'0125'
'Utby';'267';'5106';'1485'
'Stenungsön';'264';'4578';'1415'
'Torarp';'263';'2754';'1082'
'Almborga';'261';'0996';'0581'
'Roma';'261';'2534';'0980'
'Kärsta och Bredsdal';'261';'6266';'1980'
'Butbro';'261';'1206';'0562'
'Norr-Hede';'261';'7920';'2361'
'Hjälmared';'260';'4870';'1489'
'Uddebo';'258';'5100';'1452'
'Gårdby';'257';'2240';'0840'
'Optand';'257';'7942';'2380'
'Karlsvik';'256';'8670';'2580'
'Björnänge';'254';'7810';'2321'
'Låssby';'251';'4498';'1480'
'Söderby';'250';'0362';'0125'
'Bergagård';'250';'3908';'1382'
'Johannesudd';'249';'0202';'0115'
'Slätten';'247';'4562';'1482'
'Klöverträsk';'246';'8680';'2580'
'Åsen';'246';'6892';'2039'
'Hjortsberga';'245';'1872';'0764'
'Östadkulle';'245';'5162';'1442'
'Ådran';'244';'0406';'0126'
'Lilla Stenby';'244';'0230';'0125'
'Skreanäs';'243';'4094';'1382'
'Borggård';'238';'1032';'0562'
'Rättarboda';'237';'0286';'0139'
'Marieby';'236';'7910';'2380'
'Rappestad';'235';'1212';'0580'
'Västibyn';'234';'8390';'2480'
'Tjautjas/Cavccas';'234';'8886';'2523'
'Karungi';'232';'8672';'2583'
'Söderby-Karl';'231';'0352';'0188'
'Eriksmåla';'231';'2168';'0862'
'Fagerhult';'229';'2172';'0821'
'Hultafors';'227';'4884';'1443'
'Kvärlöv';'226';'3542';'1282'
'Flygsfors';'226';'2192';'0881'
'Tävelsås';'225';'2002';'0780'
'Hovid';'225';'7492';'2281'
'Häggeby och Vreta';'224';'0570';'0305'
'Tånga och Rögle';'223';'3764';'1283'
'Gränum';'223';'2628';'1060'
'Hemavan/Bierke';'222';'8198';'2421'
'Kalvsund';'221';'4434';'1407'
'Pauliström';'221';'1620';'0685'
'Vånga';'220';'1310';'0581'
'Eskilsby och Snugga';'220';'4334';'1401'
'Gottne';'218';'7482';'2284'
'Måga-Rolfhamre';'215';'7210';'2161'
'Björnö';'215';'1818';'0780'
'Torreby';'215';'4554';'1430'
'Österhagen';'213';'0426';'0139'
'Malnbaden';'213';'7204';'2184'
'Tulebo';'213';'4602';'1481'
'Öggestorp';'212';'1742';'0680'
'Simris';'211';'3056';'1291'
'Trulsegården';'211';'5086';'1480'
'Blackstalund (Ullbolsta?)';'210';'0650';'0380'
'Åstol';'210';'4624';'1419'
'Vinbergs kyrkby';'208';'4182';'1382'
'Skedvi kyrkby';'208';'6764';'2082'
'Björkviken';'208';'2114';'0885'
'Brottby';'205';'0116';'0115'
'Lurudden';'205';'0246';'0125'
'Sjuhalla';'204';'2742';'1080'
'Ytterån';'204';'8016';'2309'
'Österforse';'204';'7752';'2283'
'Frinnaryd';'204';'1480';'0604'
'Näsviken';'203';'7934';'2313'
'Törestorp';'203';'1714';'0617'
'Vansö';'202';'0902';'0486'
'Flisby';'201';'1464';'0682'
'Svartlå';'201';'8872';'2582'
'Övre Soppero';'201';'8948';'2584'
'Avan';'200';'8524';'2580'
