'0123'
'0180'
'0182'
'0481'
'0560'
'0684'
'0860'
'1060'
'1402'
'1441'
'1442'
'1447'
'1452'
'1481'
'1490'
'1491'
'1496'
'1760'
'1762'
'1784'
'1962'
'1984'
'2418'
'2422'
'2505'
